Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Mrs Kemi Badenoch (Conservative, North West Essex)",1,,,,,,"CONFLICTING SIGNALS - review all evidence | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: Cass Review) ""This work is important because of the complex interactions between the Gender Recognition Act and the Equality Act 2010. The complexity of the legal situation was reinforced by the judgment in December 2022 by Lady Haldane in the judicial review brought by..."" [++: Defends UK's rejection of gender self-identification, aligning with single-sex space protections] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: puberty blocker) ""In the time since that Bill was first promised, the issue has developed. Now, the threat to many young gay people is not conversion relating to their sexuality, but conversion relating to gender identity. Girls such Keira Bell, who was rushed on to puberty..."" [-: Minister champions conversion practices ban and expanding trans healthcare access, against CitizenGO concerns] | 2022-11-30 DEBATE: Spoke: Conversion Therapy: Legislation ""Conversion Therapy: Legislation"" [+: Minister stresses caution and delay before legislating on conversion therapy ban] | 2021-05-26 DEBATE: Spoke: Topical Questions (re: conversion therapy) ""The former LGBT advisory panel’s tenure ended on 31 March 2021. I am grateful to its members for the important insights that they have provided on important policy areas such as ending conversion therapy and the impact of covid on LGBT people. The Prime..."" [-: Frames ending conversion therapy positively while confirming no change to gender recognition law] | 2021-03-08 DEBATE: Spoke:  LGBT Conversion Therapy ""The Government have been clear that we do not intend to stop those who wish to seek spiritual counselling as they explore their sexual orientation, but there will be cases when a line is crossed, where someone is actively seeking to change another’s sexual..."" [--: Minister commits government to banning conversion therapy, opposing CitizenGO's freedom concerns] | 2021-02-10 DEBATE: Spoke: Discrimination Against LGBTQ+ Community (re: conversion therapy) ""I agree with my hon. Friend, and I encourage those who may have been the victim of hate crime to speak out and contact the police. This Government are proud to have supported Galop, the country’s leading LGBT anti-violence charity, and we welcome its new..."" [--: Welcomes government commitment to ban conversion therapy without noted exemptions]"
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""I am going to give a parent’s point of view, as both a parent and a representative. I very much recognise the need for nuance and a careful, measured analysis of the impacts of any policy proposals. It is vital to preface any discussion of conversion therapy..."" [+: Raises parental concerns cautiously, urging nuance before any conversion practices ban] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""Conversion Practices"" [+: Stresses parental rights to raise children per own faith/culture and warns of unintended harms from conversion therapy ban] | 2022-02-28 EDM-SIGNED: Signed EDM: Pre-legislative scrutiny and delay for the Government's proposed conversion therapy legislation [++: Raises concerns about rushed conversion therapy ban harming therapy and youth gender care]"
"Rebecca Paul (Conservative, Reigate)",1,,,,,,"2026-06-25 DEBATE: Spoke: Draft Conversion Practices Bill ""Draft Conversion Practices Bill"" [++: Raises strong concern Bill could criminalise healthy family interactions and parental consent limits] | 2025-12-10 DEBATE: Spoke: Conversion Practices Ban ""The Health Secretary’s puberty blocker trial will stop the natural puberty of many young lesbians, putting them on a pathway to irreversible changes and a lifetime of medicalisation. What are the Minister’s plans to stop this state-sanctioned conversion..."" [++: Frames puberty blocker trial as harming lesbian youth, opposing paediatric transition and conversion framing] | 2024-08-02 PQ: Conversion Therapy and Gender Recognition ""Conversion Therapy and Gender Recognition"" [0: Neutral question on ministerial responsibilities, no stance shown]"
"Sir Bernard Jenkin (Conservative, Harwich and North Essex)",1,,,,,,"2022-05-18 DEBATE: Spoke: Achieving Economic Growth (re: conversion therapy) ""It is appropriate that I am following the quite passionate speech by the hon. Member for Nottingham East (Nadia Whittome) about the conversion therapy Bill. I broadly welcome the Queen’s Speech and the Government’s legislative programme. I was always in..."" [+: Expresses growing doubt that conversion therapy legislation is necessary, echoing CitizenGO concerns] | 2022-05-18 DEBATE: Spoke: Achieving Economic Growth (re: conversion therapy) ""I am most grateful to my hon. Friend for that intervention, but we should recognise that these issues of conversion therapy and transsexuality are very important to certain sections of society. They need to be addressed, but we need to be sure that we address..."" [+: Urges caution addressing conversion therapy 'in the right way', signalling wariness of rushed ban] | 2022-03-10 DEBATE: Spoke: International Women’s Day (re: gender identity service) ""It is a scientific fact that our biological sex is immutable. Professor Lord Winston said on the BBC’s “Question Time”:"" [++: Defends sex-based rights, gender-critical feminists, and urges caution on conversion therapy bill]"
"Suella Braverman (Reform UK, Fareham and Waterlooville)",1,,,,,,"2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Argues conversion therapy evidence is weak, opposing proposed ban aligns with CitizenGO's concerns] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Cites Keira Bell, urges caution over youth transition and conversion ban impact on therapy] | 2023-12-06 DEBATE: Spoke:  Personal Statement (re: social transition) ""First, the Bill must address the Supreme Court’s concerns about the safety of Rwanda. Secondly, the Bill must enable flights before the next election by blocking off all routes of challenge. The powers to detain and remove must be exercisable notwithstanding..."" [++: Strongly criticises mass illegal immigration as unsustainable and damaging to cohesion]"
"Tonia Antoniazzi (Labour, Gower)",1,,,,,,"2026-07-14 EDM: Sponsored EDM: Amnesty International UK report on the anti-rights movement in the UK (6 signatures) (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""I thank the hon. Member for her question. That is what we need to be able to discuss and look at in further detail, and to thrash out in Committee. We need to ensure that clinicians, particularly those in the NHS—we need them to stay in their field—do not..."" [+: Warns of chilling effect on clinicians and prioritises safeguarding over rushed conversion ban] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Dr Hilary Cass’s interim report exposed the extent of the failings of the gender identity development service at the Tavistock clinic, criticising the “predominantly… affirmative, non-exploratory approach” and highlighting a disturbing lack of support for..."" [+: Raises concerns about unintended consequences and chilling effect on teachers from conversion practices ban]"
"Rosie Duffield (Independent, Canterbury)",1,,,,,,"2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Argues Conversion Practices Bill unnecessary and risks vague definitions harming freedoms] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Sceptical of Conversion Practices Bill, warns against dumbing down legislation, defends gender critical concerns]"
"Bob Blackman (Conservative, Harrow East)",1,,,,,,2022-02-28 EDM-SIGNED: Signed EDM: Pre-legislative scrutiny and delay for the Government's proposed conversion therapy legislation [++: Raises concerns about rushed conversion therapy ban harming therapy and youth gender care]
"Bridget Phillipson (Labour, Houghton and Sunderland South)",1,,,,,,"2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I know that many trans people will be worried in the wake of the Supreme Court ruling, so I want to provide reassurance here and now that trans people will continue to be protected. We will deliver a full trans-inclusive ban on conversion practices. We will..."" [++: Strongly defends biological single-sex spaces after Supreme Court ruling]"
"David Smith (Labour, North Northumberland)",1,,,,,,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces]"
